"data";"valor"
"01/03/2005";"12,01"
"01/04/2005";"12,57"
"01/05/2005";"12,82"
"01/06/2005";"12,48"
"01/07/2005";"12,19"
"01/08/2005";"12,23"
"01/09/2005";"12,64"
"01/10/2005";"12,85"
"01/11/2005";"12,80"
"01/12/2005";"12,61"
"01/01/2006";"12,48"
"01/02/2006";"12,92"
"01/03/2006";"13,45"
"01/04/2006";"14,00"
"01/05/2006";"14,13"
"01/06/2006";"13,74"
"01/07/2006";"13,32"
"01/08/2006";"13,31"
"01/09/2006";"13,41"
"01/10/2006";"13,44"
"01/11/2006";"13,22"
"01/12/2006";"13,14"
"01/01/2007";"12,90"
"01/02/2007";"13,02"
"01/03/2007";"12,96"
"01/04/2007";"13,08"
"01/05/2007";"12,95"
"01/06/2007";"12,82"
"01/07/2007";"12,72"
"01/08/2007";"12,74"
"01/09/2007";"12,76"
"01/10/2007";"12,90"
"01/11/2007";"12,95"
"01/12/2007";"12,74"
"01/01/2008";"12,81"
"01/02/2008";"13,19"
"01/03/2008";"13,74"
"01/04/2008";"14,13"
"01/05/2008";"14,28"
"01/06/2008";"13,96"
"01/07/2008";"13,62"
"01/08/2008";"13,46"
"01/09/2008";"13,50"
"01/10/2008";"13,73"
"01/11/2008";"13,62"
"01/12/2008";"13,52"
"01/01/2009";"13,49"
"01/02/2009";"13,84"
"01/03/2009";"14,15"
"01/04/2009";"14,42"
"01/05/2009";"14,73"
"01/06/2009";"14,85"
"01/07/2009";"14,67"
"01/08/2009";"14,49"
"01/09/2009";"14,62"
"01/10/2009";"15,02"
"01/11/2009";"15,09"
"01/12/2009";"14,98"
"01/01/2010";"15,09"
"01/02/2010";"15,33"
"01/03/2010";"15,69"
"01/04/2010";"15,94"
"01/05/2010";"16,24"
"01/06/2010";"16,21"
"01/07/2010";"15,79"
"01/08/2010";"15,56"
"01/09/2010";"15,68"
"01/10/2010";"15,97"
"01/11/2010";"16,24"
"01/12/2010";"16,47"
"01/01/2011";"16,64"
"01/02/2011";"16,66"
"01/03/2011";"16,89"
"01/04/2011";"16,81"
"01/05/2011";"16,77"
"01/06/2011";"16,37"
"01/07/2011";"15,89"
"01/08/2011";"15,77"
"01/09/2011";"16,09"
"01/10/2011";"16,66"
"01/11/2011";"16,64"
"01/12/2011";"16,54"
"01/01/2012";"16,62"
"01/02/2012";"16,95"
"01/03/2012";"17,26"
"01/04/2012";"17,27"
"01/05/2012";"17,31"
"01/06/2012";"16,90"
"01/07/2012";"16,32"
"01/08/2012";"15,97"
"01/09/2012";"15,82"
"01/10/2012";"16,03"
"01/11/2012";"16,12"
"01/12/2012";"16,11"
"01/01/2013";"16,39"
"01/02/2013";"16,66"
"01/03/2013";"16,81"
"01/04/2013";"16,73"
"01/05/2013";"16,52"
"01/06/2013";"16,14"
"01/07/2013";"15,78"
"01/08/2013";"15,69"
"01/09/2013";"15,73"
"01/10/2013";"15,90"
"01/11/2013";"15,86"
"01/12/2013";"15,90"
"01/01/2014";"16,01"
"01/02/2014";"16,23"
"01/03/2014";"16,55"
