Periodo,Endividamento_Total,Confiança_Valor,Selic_Valor,Inflação_Acumulada
3/1/2011,34.90,160.29,11.17,2.44
4/1/2011,34.90,159.44,11.67,3.23
5/1/2011,35.10,153.00,11.92,3.71
6/1/2011,35.30,153.81,11.92,3.87
7/1/2011,35.40,152.93,12.17,4.04
8/1/2011,36.00,152.71,12.42,4.42
9/1/2011,36.30,154.08,11.91,4.97
10/1/2011,36.40,151.91,11.90,5.43
11/1/2011,36.50,155.36,11.40,5.97
12/1/2011,36.50,158.17,10.90,6.5
1/1/2012,36.80,158.33,10.90,0.56
2/1/2012,36.80,170.18,10.40,1.01
3/1/2012,36.90,164.42,10.40,1.22
4/1/2012,37.00,164.99,9.65,1.87
5/1/2012,37.20,163.05,8.90,2.24
6/1/2012,37.40,162.35,8.39,2.32
7/1/2012,37.50,160.56,8.39,2.76
8/1/2012,37.70,156.30,7.89,3.18
9/1/2012,37.50,158.29,7.39,3.77
10/1/2012,37.70,161.38,7.39,4.38
11/1/2012,37.80,159.69,7.14,5.01
12/1/2012,38.00,161.81,7.14,5.84
1/1/2013,38.20,160.55,7.11,0.86
2/1/2013,38.30,165.85,7.11,1.47
3/1/2013,38.10,159.96,7.14,1.94
4/1/2013,38.30,155.62,7.16,2.5
5/1/2013,38.40,145.97,7.40,2.88
6/1/2013,38.40,145.04,7.90,3.15
7/1/2013,38.50,136.73,7.90,3.18
8/1/2013,38.70,133.04,8.40,3.43
9/1/2013,38.50,136.74,8.90,3.79
10/1/2013,38.40,139.24,8.90,4.38
11/1/2013,38.40,138.01,9.40,4.95
12/1/2013,38.40,136.57,9.90,5.91
1/1/2014,38.40,131.74,9.90,0.55
2/1/2014,38.30,136.39,10.40,1.24
3/1/2014,38.20,125.78,10.65,2.18
4/1/2014,38.20,120.25,10.65,2.86
5/1/2014,38.30,109.48,10.90,3.33
6/1/2014,38.50,107.37,10.90,3.75
7/1/2014,38.60,109.55,10.90,3.76
8/1/2014,38.70,110.54,10.90,4.02
9/1/2014,38.80,118.92,10.90,4.61
10/1/2014,39.00,115.82,10.90,5.05
11/1/2014,39.00,115.99,11.15,5.58
12/1/2014,39.30,112.95,11.15,6.41
1/1/2015,39.60,112.69,11.65,1.24
2/1/2015,39.60,112.89,12.15,2.48
3/1/2015,39.70,106.86,12.15,3.83
4/1/2015,40.00,101.56,12.65,4.56
5/1/2015,40.10,91.77,13.15,5.34
6/1/2015,40.10,90.58,13.15,6.17
7/1/2015,40.40,84.55,13.65,6.83
8/1/2015,40.60,84.66,14.15,7.06
9/1/2015,40.80,85.53,14.15,7.64
10/1/2015,40.90,88.77,14.15,8.52
11/1/2015,40.60,85.55,14.15,9.62
12/1/2015,40.10,87.17,14.15,10.67
1/1/2016,40.10,89.04,14.15,1.27
2/1/2016,39.70,95.23,14.15,2.18
3/1/2016,39.60,89.31,14.15,2.62
4/1/2016,39.30,87.68,14.15,3.25
5/1/2016,39.20,90.85,14.15,4.05
6/1/2016,39.10,98.05,14.15,4.42
7/1/2016,38.90,97.67,14.15,4.96
8/1/2016,38.80,100.05,14.15,5.42
9/1/2016,38.50,106.95,14.15,5.51
10/1/2016,38.30,105.98,14.15,5.78
11/1/2016,38.30,110.30,13.90,5.97
12/1/2016,38.20,110.73,13.65,6.29
1/1/2017,38.10,102.25,13.65,0.38
2/1/2017,37.90,113.80,12.90,0.71
3/1/2017,37.80,109.38,12.15,0.96
4/1/2017,37.50,109.01,12.15,1.1
5/1/2017,37.40,103.49,11.15,1.42
6/1/2017,37.40,100.06,10.15,1.18
7/1/2017,37.40,104.78,10.15,1.43
8/1/2017,37.40,101.48,9.15,1.62
9/1/2017,37.30,99.67,9.15,1.78
10/1/2017,37.30,102.81,8.15,2.21
11/1/2017,37.40,103.96,7.40,2.5
12/1/2017,37.30,109.46,7.40,2.95
1/1/2018,37.30,116.96,6.90,0.29
2/1/2018,37.30,120.57,6.90,0.61
3/1/2018,37.40,115.64,6.65,0.7
4/1/2018,37.60,109.94,6.40,0.92
5/1/2018,37.90,113.50,6.40,1.33
6/1/2018,37.90,104.00,6.40,2.6
7/1/2018,37.90,103.48,6.40,2.94
8/1/2018,38.10,104.38,6.40,2.85
9/1/2018,38.10,106.79,6.40,3.34
10/1/2018,38.40,107.91,6.40,3.81
11/1/2018,38.80,114.50,6.40,3.59
12/1/2018,39.00,127.80,6.40,3.75
1/1/2019,39.30,128.64,6.40,0.32
2/1/2019,39.50,139.39,6.40,0.75
3/1/2019,39.60,125.53,6.40,1.51
4/1/2019,39.80,121.71,6.40,2.09
5/1/2019,40.10,117.01,6.40,2.22
6/1/2019,40.60,107.38,6.40,2.23
7/1/2019,40.70,110.92,6.40,2.42
8/1/2019,41.10,114.58,5.90,2.54
9/1/2019,41.20,112.19,5.90,2.49
10/1/2019,41.40,111.82,5.40,2.6
11/1/2019,41.60,118.64,4.90,3.12
12/1/2019,41.50,121.26,4.90,4.31
1/1/2020,41.50,121.27,4.40,0.21
2/1/2020,41.50,131.79,4.40,0.46
3/1/2020,41.60,124.58,4.15,0.53
4/1/2020,40.90,111.97,3.65,0.22
5/1/2020,40.00,96.82,3.65,-0.16
6/1/2020,39.40,100.43,2.90,0.1
7/1/2020,39.20,102.84,2.15,0.46
8/1/2020,39.20,102.62,2.15,0.7
9/1/2020,39.60,108.36,1.90,1.34
10/1/2020,40.20,107.61,1.90,2.22
